Airline,Airline_ID,Source_Airport,Source_Airport_ID,Destination_Airport,Destination_Airport_ID,Codeshare,Stops,Equipment,Source_Airport_Name,Source_City,Source_Country,Source_Latitude,Source_Longitude,Destination_Airport_Name,Destination_City,Destination_Country,Destination_Latitude,Destination_Longitude,Route,Route_Type
6E,2850.0,BLR,3131.0,DEL,3093.0,,0,320,Kempegowda International Airport,Bangalore,India,13.1979,77.706299,Indira Gandhi International Airport,Delhi,India,28.5665,77.103104,Kempegowda International Airport → Indira Gandhi International Airport,Domestic
6E,2850.0,BLR,3131.0,GAU,6173.0,,0,320,Kempegowda International Airport,Bangalore,India,13.1979,77.706299,Lokpriya Gopinath Bordoloi International Airport,Guwahati,India,26.10610008239746,91.58589935302734,Kempegowda International Airport → Lokpriya Gopinath Bordoloi International Airport,Domestic
6E,2850.0,BLR,3131.0,GOI,3007.0,,0,320,Kempegowda International Airport,Bangalore,India,13.1979,77.706299,Dabolim Airport,Goa,India,15.3808002472,73.8313980103,Kempegowda International Airport → Dabolim Airport,Domestic
6E,2850.0,BLR,3131.0,JAI,3098.0,,0,320,Kempegowda International Airport,Bangalore,India,13.1979,77.706299,Jaipur International Airport,Jaipur,India,26.8242,75.812202,Kempegowda International Airport → Jaipur International Airport,Domestic
6E,2850.0,BLR,3131.0,LKO,3105.0,,0,320,Kempegowda International Airport,Bangalore,India,13.1979,77.706299,Chaudhary Charan Singh International Airport,Lucknow,India,26.7605991364,80.8892974854,Kempegowda International Airport → Chaudhary Charan Singh International Airport,Domestic
6E,2850.0,BLR,3131.0,MAA,3144.0,,0,320,Kempegowda International Airport,Bangalore,India,13.1979,77.706299,Chennai International Airport,Madras,India,12.990005493164062,80.16929626464844,Kempegowda International Airport → Chennai International Airport,Domestic
6E,2850.0,BLR,3131.0,NAG,3015.0,,0,320,Kempegowda International Airport,Bangalore,India,13.1979,77.706299,Dr. Babasaheb Ambedkar International Airport,Nagpur,India,21.092199325561523,79.04720306396484,Kempegowda International Airport → Dr. Babasaheb Ambedkar International Airport,Domestic
6E,2850.0,BLR,3131.0,PNQ,3017.0,,0,320,Kempegowda International Airport,Bangalore,India,13.1979,77.706299,Pune Airport,Pune,India,18.58209991455078,73.9197006225586,Kempegowda International Airport → Pune Airport,Domestic
6E,2850.0,BLR,3131.0,TRV,3153.0,,0,320,Kempegowda International Airport,Bangalore,India,13.1979,77.706299,Trivandrum International Airport,Trivandrum,India,8.48211956024,76.9200973511,Kempegowda International Airport → Trivandrum International Airport,Domestic
6E,2850.0,BLR,3131.0,VTZ,3066.0,,0,320,Kempegowda International Airport,Bangalore,India,13.1979,77.706299,Vishakhapatnam Airport,Vishakhapatnam,India,17.721200943,83.2245025635,Kempegowda International Airport → Vishakhapatnam Airport,Domestic
6E,2850.0,BOM,2997.0,AMD,2994.0,,0,320,Chhatrapati Shivaji International Airport,Mumbai,India,19.0886993408,72.8678970337,Sardar Vallabhbhai Patel International Airport,Ahmedabad,India,23.0771999359,72.63469696039999,Chhatrapati Shivaji International Airport → Sardar Vallabhbhai Patel International Airport,Domestic
6E,2850.0,BOM,2997.0,BBI,3042.0,,0,320,Chhatrapati Shivaji International Airport,Mumbai,India,19.0886993408,72.8678970337,Biju Patnaik Airport,Bhubaneswar,India,20.2444000244,85.8178024292,Chhatrapati Shivaji International Airport → Biju Patnaik Airport,Domestic
